"Key","Value","","","","","","","","",""
"Name :","Set Mass #0128 (clone)","","","","","","","","",""
"External name :","EETS136","","","","","","","","",""
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"Cathedrale de Notre-Dame","Requested","No","2024-05-16 12:00:00","2024-05-16 13:00:00","36","0","Place du Parvis de Notre-Dame","","","Ying Wu"
"Half Day Chinese Guide Arranged by","Requested","No","2024-05-16 12:00:00","2024-05-16 13:00:00","36","0","","","","Ying Wu"
"Test Guide 2","Requested","No","2024-05-16 13:00:00","2024-05-16 14:00:00","36","0","","vienna@eetstravel.com","+43 1 597 49 18","Ying Wu"
"Happy Buddha Chinese Restaurant","Requested","No","2024-05-16 16:00:00","2024-05-16 17:00:00","36","0","","","","Ying Wu"
"Chung Hwa Chinese Restaurant","Requested","No","2024-05-16 17:00:00","2024-05-16 18:00:00","36","0","","","","Ying Wu"
"Renaissance Wien Hotel","Requested","No","2024-05-16 18:00:00","2024-05-17 12:00:00","36","60","Kardinala Stepinca 31","","+385 20 440 100","Ying Wu"
"Le Meridien Vienna Hotel","Requested","No","2024-05-16 18:00:00","2024-05-17 12:00:00","36","0","","","","Ying Wu"
"Double Tree by Hilton Vienna Schonbrunn","Requested","No","2024-05-16 18:00:00","2024-05-17 12:00:00","36","0","Bd. Eroilor 27-29,","events@aro-palace.ro","+40 268 478 800","Ying Wu"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"Historisches Museum","Requested","No","2024-05-18 12:00:00","2024-05-18 13:00:00","36","0","Karlsplatz","post@m10.magwien.gv.at","+43 1 50587470","Ying Wu"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"Chez Edouard Restaurant","Requested","No","2024-05-21 12:00:00","2024-05-21 13:00:00","36","0","","","","Ying Wu"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"Bauer Hotel Venezia","Requested","No","2024-05-22 12:00:00","2024-05-22 13:00:00","36","0","","","","Ying Wu"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
"New Shangralila Restaurant","Requested","No","2024-05-24 12:00:00","2024-05-24 13:00:00","36","0","","","","Ying Wu"
"","","","","","","","","","",""
"Name","Status","Paid","From Time","To Time","Pax","Total Amount","Address","Email","Phone","Responsible User"
